Town Name,County,Year Established
Andover,Tolland,1848
Ansonia,New Haven,1889
Ashford,Windham,1714
Avon,Hartford,1830
Barkhamsted,Litchfield,1779
Beacon Falls,New Haven,1871
Berlin,Hartford,1785
Bethany,New Haven,1832
Bethel,Fairfield,1855
Bethlehem,Litchfield,1787
Bloomfield,Hartford,1835
Bolton,Tolland,1720
Bozrah,New London,1786
Branford,New Haven,1685
Bridgeport,Fairfield,1821
Bridgewater,Litchfield,1856
Bristol,Hartford,1785
Brookfield,Fairfield,1788
Brooklyn,Windham,1786
Burlington,Hartford,1806
Canaan,Litchfield,1739
Canterbury,Windham,1703
Canton,Hartford,1806
Chaplin,Windham,1822
Cheshire,New Haven,1780
Chester,Middlesex,1836
Clinton,Middlesex,1838
Colchester,New London,1698
Colebrook,Litchfield,1779
Columbia,Tolland,1804
Cornwall,Litchfield,1740
Coventry,Tolland,1712
Cromwell,Middlesex,1851
Danbury,Fairfield,1687
Darien,Fairfield,1820
Deep River,Middlesex,1635
Derby,New Haven,1675
Durham,Middlesex,1708
East Granby,Hartford,1858
East Haddam,Middlesex,1734
East Hampton,Middlesex,1767
East Hartford,Hartford,1783
East Haven,New Haven,1785
East Lyme,New London,1839
East Windsor,Hartford,1768
Eastford,Windham,1847
Easton,Fairfield,1845
Ellington,Tolland,1786
Enfield,Hartford,1683
Essex,Middlesex,1852
Fairfield,Fairfield,1639
Farmington,Hartford,1645
Franklin,New London,1786
Glastonbury,Hartford,1690
Goshen,Litchfield,1739
Granby,Hartford,1786
Greenwich,Fairfield,1665
Griswold,New London,1815
Groton,New London,1705
Guilford,New Haven,1643
Haddam,Middlesex,1668
Hamden,New Haven,1786
Hampton,Windham,1786
Hartford,Hartford,1635
Hartland,Hartford,1761
Harwinton,Litchfield,1737
Hebron,Tolland,1708
Kent,Litchfield,1739
Killingly,Windham,1708
Killingworth,Middlesex,1667
Lebanon,New London,1700
Ledyard,New London,1836
Lisbon,New London,1786
Litchfield,Litchfield,1719
Lyme,New London,1667
Madison,New Haven,1826
Manchester,Hartford,1823
Mansfield,Tolland,1702
Marlborough,Hartford,1803
Meriden,New Haven,1806
Middlebury,New Haven,1807
Middlefield,Middlesex,1866
Middletown,Middlesex,1651
Milford,New Haven,1639
Monroe,Fairfield,1823
Montville,New London,1786
Morris,Litchfield,1859
Naugatuck,New Haven,1844
New Britain,Hartford,1850
New Canaan,Fairfield,1801
New Fairfield,Fairfield,1740
New Hartford,Litchfield,1738
New Haven,New Haven,1638
New London,New London,1646
New Milford,Litchfield,1712
Newington,Hartford,1871
Newtown,Fairfield,1711
Norfolk,Litchfield,1758
North Branford,New Haven,1831
North Canaan,Litchfield,1858
North Haven,New Haven,1786
North Stonington,New London,1807
Norwalk,Fairfield,1651
Norwich,New London,1662
Old Lyme,New London,1855
Old Saybrook,Middlesex,1854
Orange,New Haven,1822
Oxford,New Haven,1798
Plainfield,Windham,1699
Plainville,Hartford,1869
Plymouth,Litchfield,1795
Pomfret,Windham,1713
Portland,Middlesex,1841
Preston,New London,1687
Prospect,New Haven,1827
Putnam,Windham,1855
Redding,Fairfield,1767
Ridgefield,Fairfield,1709
Rocky Hill,Hartford,1843
Roxbury,Litchfield,1796
Salem,New London,1819
Salisbury,Litchfield,1741
Scotland,Windham,1857
Seymour,New Haven,1850
Sharon,Litchfield,1739
Shelton,Fairfield,1789
Sherman,Fairfield,1802
Simsbury,Hartford,1670
Somers,Tolland,1734
South Windsor,Hartford,1845
Southbury,New Haven,1787
Southington,Hartford,1779
Sprague,New London,1861
Stafford,Tolland,1719
Stamford,Fairfield,1641
Sterling,Windham,1794
Stonington,New London,1662
Stratford,Fairfield,1639
Suffield,Hartford,1674
Thomaston,Litchfield,1875
Thompson,Windham,1785
Tolland,Tolland,1715
Torrington,Litchfield,1740
Trumbull,Fairfield,1797
Union,Tolland,1734
Vernon,Tolland,1808
Voluntown,New London,1721
Wallingford,New Haven,1670
Warren,Litchfield,1786
Washington,Litchfield,1779
Waterbury,New Haven,1686
Waterford,New London,1801
Watertown,Litchfield,1780
West Hartford,Hartford,1854
West Haven,New Haven,1921
Westbrook,Middlesex,1840
Weston,Fairfield,1787
Westport,Fairfield,1835
Wethersfield,Hartford,1634
Willington,Tolland,1727
Wilton,Fairfield,1802
Winchester,Litchfield,1771
Windham,Windham,1692
Windsor,Hartford,1633
Windsor Locks,Hartford,1854
Wolcott,New Haven,1796
Woodbridge,New Haven,1784
Woodbury,Litchfield,1673
Woodstock,Windham,1690
